"ID","Name","Category","Sub-category","Status","Who","What","When (annual window)","Closing date 2026","Where","Cost","The pitch","Age 4-6","Age 7-9","Age 10-12","Age 13-16","States","Fields","Format","Website","Instagram","Facebook","Logo source URL","Cross-promo tier","Cross-promo signal","Cross-promo notes","Build notes","Last verified"
"premiers-reading","State Premier's Reading Challenges","Writing","Reading","Confirmed 2026","All students K-Year 10 (varies by state)","Read a set number of books from approved booklists","Term 1 to Term 3 (varies by state)","Varies","NSW, QLD, VIC, WA, SA, TAS","Free","Not a competition - a challenge. Hundreds of thousands of kids do this each year. Read enough books from your state's curated booklist and earn a certificate signed by the Premier. The vibe is participation, not winning - but it's a big motivating force for reluctant readers. Each state runs its own version with similar mechanics.","TRUE","TRUE","TRUE","TRUE","nsw,qld,vic,wa,sa,tas","reading","school-entry","https://online.education.nsw.gov.au/prc/home.html","","","","N/A","","","Treat as a single tile with state-by-state links rather than 5 separate listings.","2026-05-07"
"crikey-magazine","Crikey! Magazine Photography Competition (Australia Zoo)","Photography & Film","","Annual unconfirmed","Three kids categories - Under 10, 11-14, 15-17","Wildlife/nature photography","Annually, dates TBC","TBC","National","Free","Run by Australia Zoo and the Irwin family. Big-ticket prizes: 2 nights at the Crocodile Hunter Lodge (over $1,800 value), Australia Zoo family passes, signed gift baskets. Robert Irwin started his photography career here as a junior finalist.","FALSE","TRUE","TRUE","TRUE","national","photography,environment","online,individual-entry","https://australiazoo.com.au/photography-competition/","@australiazoo","/australiazoo","https://australiazoo.com.au","N/A","","","Massive brand recognition - hero this one in Photography category.","2026-05-07"
"agnpoty-junior","Australian Geographic Nature Photographer of the Year - Junior Category","Photography & Film","","Confirmed 2026","Photographers under 18","Nature photography in ANZANG bioregion","Entries early Dec - early Feb","2026-02-05","National (and NZ)","Paid - $10 first image, $5 each additional","The big one. Run by the South Australian Museum with Australian Geographic. Junior winners take home $500, runners-up $250, plus all finalists get exhibited at the SA Museum and Australian Museum. Up to 4 entries per kid across categories like Animals in Nature, Landscape, Threatened Species, Macro, Astrophotography. This is the comp Robert Irwin won as a kid.","FALSE","TRUE","TRUE","TRUE","national","photography,environment","online,individual-entry","https://www.naturephotographeroftheyear.com.au","@ausgeo","/AustralianGeographic","","N/A","","","2027 entries likely open December 2026.","2026-05-07"
"little-sydney-lives","Little Sydney Lives Photography Competition","Photography & Film","","Confirmed 2026","Sydney kids 5-12","Photography of Sydney as you see it","Annually","TBC","NSW (Sydney)","Free","Run by City of Sydney as part of the Australian Life program. Kids capture Sydney through their own lens - phone snaps welcome, no fancy gear needed. From harbour sparkle to suburban stillness. Selected works exhibit outdoors in central Sydney.","TRUE","TRUE","TRUE","FALSE","nsw,regional-only","photography","online,individual-entry","https://www.cityofsydney.nsw.gov.au/opportunities/enter-little-sydney-lives-photography-competition","","/cityofsydney","","N/A","","","","2026-05-07"
"aus-museum-ocean","Australian Museum Ocean Photography (Young Ocean Photographer)","Photography & Film","","Confirmed 2026","Children 16 and under","Photos of oceans, waterways and the environment","Closes 3 May","2026-05-03","National","Free","Linked to the Australian Museum's Ocean Photographer of the Year program. Three winners receive OM System Tough TG-7 underwater cameras - actual gear they can use to take more photos.","TRUE","TRUE","TRUE","TRUE","national","photography,environment","online,individual-entry","","@australianmuseum","/australianmuseum","","N/A","","","Search 'Australian Museum Ocean Photographer Young' for direct entry link.","2026-05-07"
"vsff-junior","Very Short Film Festival - Junior Category (VSFF)","Photography & Film","","Confirmed 2026","Australian school students","Short film under 5 minutes incorporating annual signature ('Thread' in 2026)","Annually, festival in Hobart","TBC","National","Free","Australia's coolest under-the-radar youth film festival. Selected films premiere at the VSFF Festival Weekend in Hobart, then tour nationally. The festival publishes a free step-by-step filmmaking guide. Phone footage is fine.","FALSE","TRUE","TRUE","TRUE","national","film","online,individual-entry","https://veryshortfilmfestival.com.au/school-film-competition/","@veryshortfilmfestival","","","N/A","","","","2026-05-07"
"flickerfest-flickerup","Flickerfest FlickerUp (Australian National Youth Competition)","Photography & Film","","Confirmed 2026","Australian secondary students and individuals 18 and under","Short film under 35 minutes","Festival held in January at Bondi","TBC","National","Paid (check site)","Australia's leading short film festival - and the Academy Award qualifying one. The youth competition (FlickerUp) screens at Bondi alongside the international films. Winning here is a proper foot in the door of the Aussie film industry.","FALSE","FALSE","FALSE","TRUE","national","film","online,individual-entry","https://flickerfest.com.au/entries/","@flickerfest","/flickerfest","","N/A","","","","2026-05-07"
"amc","Australian Mathematics Competition (AMC)","STEM","","Confirmed 2026","Students Years 3-12 in 5 divisions","60-minute maths problem-solving exam","Closes early July","2026-07-03","National (and international)","Paid (school entry)","Australia's oldest and biggest maths comp - running since 1978. Over 250,000 entries annually. Every student gets an award (Participation, Proficiency, Distinction, High Distinction, Prize). Entered through schools. The pathway to the Australian Maths Olympiad starts here.","FALSE","TRUE","TRUE","TRUE","national","maths,stem","school-entry","https://amt.edu.au/amc","","/AustralianMathsTrust","","N/A","","","","2026-05-07"
"apsmo-olympiad","APSMO Maths Olympiad (Years 5-6)","STEM","","Confirmed 2026","High-achieving Years 5 and 6 students","Four 30-minute contest papers spread across the year","Contests run early Term 2 onwards","Term 2 onwards","National (and NZ)","Paid (school entry)","Designed for kids who light up at hard maths problems. Running since 1987. Four contests, 5 questions each, no calculator. Less about the answer, more about how creatively you got there.","FALSE","FALSE","TRUE","FALSE","national","maths,stem","school-entry","https://apsmo.edu.au/","","/APSMO","","N/A","","","Also runs Maths Explorer (Years 3-4) and Maths Games (Years 5-6).","2026-05-07"
"matific-olympiad","Matific Maths Olympiad","STEM","","Confirmed 2026","Primary kids 4-13","Online maths competition over 5 days","Registration June - August, competition mid-August","TBC","National","Free","A 5-day-long online comp focused on participation, not excellence. Schools and kids earn stars by completing maths activities. Top schools win up to $1,500. Every student gets a certificate.","TRUE","TRUE","TRUE","FALSE","national","maths,stem","online,school-entry","https://www.matific.com/au/en-au/home/matific-olympiad/","","/Matific","","N/A","","","","2026-05-07"
"big-science","Big Science Competition (ASI)","STEM","","Confirmed 2026","Students Years 7-10 (international friendly)","50-minute online science questions in real-world contexts","Sitting period early-mid May","2026-05-15","National (and international)","Paid (school entry)","Run by Australian Science Innovations. 50 minutes, mixed format, problem-solving and critical thinking in real-life contexts. Pathway to the Australian Science Olympiads program.","FALSE","FALSE","FALSE","TRUE","national","science,stem","online,school-entry","https://asi.edu.au/program/big-science-competition/","","/AustralianScienceInnovations","","N/A","","","","2026-05-07"
"think-science","Think Science! Competition (ANSTO)","STEM","","Confirmed 2026","Students Years 3-10","Science inquiry project","Annual, check site","TBC","National","Free","Run by ANSTO (Australia's Nuclear Science and Technology Organisation). Free entry, generous prizes for winning schools. Designed to teach science inquiry skills in a fun way. Particularly strong at primary level.","FALSE","TRUE","TRUE","TRUE","national","science,stem","school-entry","https://www.ansto.gov.au/education/primary-school/think-science-competition","","/ANSTO","","N/A","","","","2026-05-07"
"yicte","Young ICT Explorers (YICTE)","STEM","","Confirmed 2026","Students Years 3-12","Tech project of any kind - app, robot, VR, recycling solution","Registration closes 1 July, projects close 31 July","2026-07-31","National","Free","Founded by SAP and free to enter. Approximately $30,000 in cash prizes annually. Kids build real-world tech projects - from coding apps to designing tools for people with disabilities to building robots.","FALSE","TRUE","TRUE","TRUE","national","coding,stem","online,individual-entry","https://www.youngictexplorers.net.au/","","/YoungICTExplorers","","N/A","","","","2026-05-07"
"first-lego","FIRST LEGO League (Australia)","STEM","","Confirmed 2026","Discover (4-6), Explore (6-10), Challenge (9-16)","Build, code and present a LEGO robot solving real-world challenges","Season runs August-April","Aug-Apr","National (and global)","Paid (team registration)","Where kids fall in love with engineering. Teams research a real-world problem, build a LEGO robot to solve missions, and present their solutions at competitions that escalate from regional to national to international.","TRUE","TRUE","TRUE","TRUE","national","coding,stem","team,school-entry","https://www.firstaustralia.org/first-lego-league","@firstaustralia","","","N/A","","","","2026-05-07"
"pm-spelling-bee","Prime Minister's Spelling Bee","STEM","Spelling","Confirmed 2026","Students Years 3-8","Online spelling competition with progressive rounds","School round 20 July - 21 August; National Final September","2026-08-21","National","Free","A national kids' spelling tradition. Three reading levels (Green Years 3-4, Orange 5-6, Red 7-8). Kids compete from school, with state finalists progressing to a national final. Past winners have met the actual Prime Minister.","FALSE","TRUE","TRUE","TRUE","national","spelling","online,school-entry","https://www.spelling-bee.com.au/","","/KidsNewsAU","","N/A","","","","2026-05-07"
"nsw-spelling-bee","NSW Premier's Spelling Bee","STEM","Spelling","Confirmed 2026","NSW students Years 3-6 (Junior and Senior categories)","Spoken spelling competition","School Term 2-3, Regional Term 3, State Final October","TBC","NSW","Free","The classic spoken spelling bee. Kids compete at class level, then school level, then regional level via video. Winners progress to State Finals at Penrith Performing & Visual Arts.","FALSE","TRUE","TRUE","FALSE","nsw","spelling","school-entry","https://artsunit.nsw.edu.au/program/nsw-premiers-spelling-bee","","","","N/A","","","","2026-05-07"
"wakakirri","Wakakirri National Story-Dance Festival","Performance","","Confirmed 2026","Australian school students K-Year 12 (entered as a school)","3-7 minute Story-Dance performance","Performances in Term 3","Term 3","National","Paid (school entry)","Australia's largest performing arts event for schools - over 10,000 students annually since 1992. Schools tell a story through dance, drama and music. The 2026 theme is 'Guardians of Us.' Performed in professional theatres, with regional video options. Less about technical dance, more about creative storytelling.","TRUE","TRUE","TRUE","TRUE","national","performance,dance","school-entry,team","https://www.wakakirri.com/","@wakakirri","/wakakirri","","N/A","","","","2026-05-07"
"acmf-songwriting","ACMF National Songwriting Competition","Performance","","Confirmed 2026","All school-aged children","Original song","Annually, check site","TBC","National","Free","Run by the Australian Children's Music Foundation. Over $20,000 in prizes - all paid towards musical equipment or tuition (so prize money goes straight back into music). A breakthrough comp for any kid who writes songs in their bedroom.","TRUE","TRUE","TRUE","TRUE","national","music","online,individual-entry","https://acmf.com.au/national-songwriting-competition/","@acmfaustralia","","","N/A","","","","2026-05-07"
"osic","Oz Schools Instrumental Championships (OSIC)","Performance","","Confirmed 2026","School-age piano, strings, drums and guitar students Prep-Year 12","Instrumental performance via state finals to national","Qualifying period Aug-Aug","Year-round","National","Paid","A national series of state championships culminating in a National Final. Kids qualify by audition, nomination, or by placing 1st-3rd in an Australian eisteddfod. Top placers go to State Finals at iconic venues.","TRUE","TRUE","TRUE","TRUE","national","music","individual-entry","https://www.osic.com.au/","","/oschoolsinstrumental","","N/A","","","","2026-05-07"
"asme-young-composers","ASME Young Composers Awards (state-based)","Performance","","Confirmed 2026","Composers 18 and under, primary or secondary school","Original composition","State-based, varies","Varies","SA, QLD, others","Paid (small fee)","State-by-state competition for young composers. Multiple categories - solo instrument, ensemble, choir, rock/pop/EDM with or without lyrics. Winning compositions are performed live at the awards ceremony.","FALSE","FALSE","TRUE","TRUE","sa,qld","music","individual-entry","https://www.asme.edu.au/qld/young-composers/","","","","N/A","","","","2026-05-07"
"class-clowns","Class Clowns","Performance","","Confirmed 2026","Aussie students Years 9-12 (14-18)","3-5 minute comedy act","Heats Term 1, National Grand Final at Melbourne Comedy Festival","Term 1","National","Free","Run by the Melbourne International Comedy Festival. A free workshop with a professional comedian, then perform at a real heat in front of a live audience. Past participants include Joel Creasey and Rhys Nicholson. Cash prize $1,500 for the National Grand Final winner plus $1,000 for their school.","FALSE","FALSE","FALSE","TRUE","national","comedy,performance","individual-entry","https://classclowns.com.au/the-comp","@classclownscomedy","","","N/A","","","Slightly above our core 4-13 audience.","2026-05-07"
"water-week","National Water Week Poster Competition","Social Good","","Confirmed 2026","Preschool to Year 8, varies by state","Poster on annual water theme","Closes 9 September","2026-09-09","National (state water authorities)","Free","Run by water authorities like Yarra Valley Water and Greater Western Water. The 2026 theme is 'Water Heroes: Make Every Drop Count.' Posters can be drawing, painting, mixed media or digital. Category winners progress to statewide finals during National Water Week (19-25 October).","TRUE","TRUE","TRUE","TRUE","national","art,environment","school-entry","https://www.nationalwaterweek.com.au","","","","N/A","","","","2026-05-07"
"resourcesmart","ResourceSmart Schools - Sustainability Through Your Own Lens","Social Good","","Confirmed 2026","Victorian school students","Photo + written reflection on annual sustainability theme","Annual, check site","TBC","VIC","Free","Photo competition celebrating student creativity through imagery and written reflection. The 2026 theme: 'Building a climate-ready future.' Run by Sustainability Victoria.","TRUE","TRUE","TRUE","TRUE","vic","photography,environment","school-entry,online","https://www.sustainability.vic.gov.au/about-us/what-we-do/resourcesmart-schools/resourcesmart-schools-awards-and-competitions/sustainability-through-your-own-lens-photography-competition","","/SustainabilityVictoria","","N/A","","","","2026-05-07"
"nspc","National Schools Poster Competition (NSPC)","Social Good","","Annual unconfirmed","Students Years 3-12 (multiple stages)","E-poster about an investigation","Annually, registrations re-open 2026","TBC","National","Free","Project-based learning meets statistics, sustainability and STEM. Kids design and run their own investigation, then create a digital poster to share what they found. Cash prizes per division ($15-$40 individual). Optional second stream specifically for sustainability investigations.","FALSE","TRUE","TRUE","TRUE","national","science,stem,environment","online,individual-entry","https://ssapostercomp.info/","","","","N/A","","","","2026-05-07"
"naidoc-schools","NAIDOC Poster Competition (Schools editions)","Social Good","","Confirmed 2026","Note: National NAIDOC Poster Competition is 18+ only, but state and local school NAIDOC art competitions run for kids","Artwork reflecting NAIDOC theme","NAIDOC Week is 5-12 July","2026-07-12","National (school/council level)","Free","NAIDOC Week sparks dozens of school and council art competitions across Australia each year. The 2026 NAIDOC theme is '50 Years of Deadly.' While the National poster comp itself is for 18+, search for your local council's NAIDOC art competition - most run kids' divisions.","TRUE","TRUE","TRUE","TRUE","national","art,culture","school-entry,individual-entry","https://www.naidoc.org.au","","/NAIDOC","https://www.naidoc.org.au","N/A","","","","2026-05-07"
